state,cases,date
Alabama,,2020-03-13
Alaska,,2020-03-13
American Samoa,,2020-03-13
Arizona,9,2020-03-13
Arkansas,6,2020-03-13
California,224,2020-03-13
Colorado,49,2020-03-13
Connecticut,7,2020-03-13
Delaware,1,2020-03-13
District of Columbia,1,2020-03-13
Florida,31,2020-03-13
Georgia,45,2020-03-13
Guam,,2020-03-13
Hawaii,1,2020-03-13
Idaho,,2020-03-13
Illinois,32,2020-03-13
Indiana,12,2020-03-13
Iowa,16,2020-03-13
Kansas,1,2020-03-13
Kentucky,11,2020-03-13
Louisiana,14,2020-03-13
Maine,1,2020-03-13
Marshall Islands,,2020-03-13
Maryland,12,2020-03-13
Massachusetts,108,2020-03-13
Michigan,1,2020-03-13
Micronesia,,2020-03-13
Minnesota,10,2020-03-13
Mississippi,1,2020-03-13
Missouri,1,2020-03-13
Montana,1,2020-03-13
Nebraska,10,2020-03-13
Nevada,11,2020-03-13
New Hampshire,6,2020-03-13
New Jersey,29,2020-03-13
New Mexico,1,2020-03-13
New York,325,2020-03-13
North Carolina,15,2020-03-13
North Dakota,1,2020-03-13
Northern Marianas,,2020-03-13
Ohio,1,2020-03-13
Oklahoma,1,2020-03-13
Oregon,24,2020-03-13
Palau,,2020-03-13
Pennsylvania,23,2020-03-13
Puerto Rico,,2020-03-13
Rhode Island,1,2020-03-13
South Carolina,12,2020-03-13
South Dakota,8,2020-03-13
Tennessee,18,2020-03-13
Texas,24,2020-03-13
Utah,1,2020-03-13
Vermont,1,2020-03-13
Virgin Islands,,2020-03-13
Virginia,29,2020-03-13
Washington,457,2020-03-13
West Virginia,,2020-03-13
Wisconsin,8,2020-03-13
Wyoming,1,2020-03-13
Alabama,,2020-03-13
Alaska,,2020-03-13
American Samoa,,2020-03-13
Arizona,9,2020-03-13
Arkansas,6,2020-03-13
California,224,2020-03-13
Colorado,49,2020-03-13
Connecticut,7,2020-03-13
Delaware,1,2020-03-13
District of Columbia,1,2020-03-13
Florida,31,2020-03-13
Georgia,45,2020-03-13
Guam,,2020-03-13
Hawaii,1,2020-03-13
Idaho,,2020-03-13
Illinois,32,2020-03-13
Indiana,12,2020-03-13
Iowa,16,2020-03-13
Kansas,1,2020-03-13
Kentucky,11,2020-03-13
Louisiana,14,2020-03-13
Maine,1,2020-03-13
Marshall Islands,,2020-03-13
Maryland,12,2020-03-13
Massachusetts,108,2020-03-13
Michigan,1,2020-03-13
Micronesia,,2020-03-13
Minnesota,10,2020-03-13
Mississippi,1,2020-03-13
Missouri,1,2020-03-13
Montana,1,2020-03-13
Nebraska,10,2020-03-13
Nevada,11,2020-03-13
New Hampshire,6,2020-03-13
New Jersey,29,2020-03-13
New Mexico,1,2020-03-13
New York,325,2020-03-13
North Carolina,15,2020-03-13
North Dakota,1,2020-03-13
Northern Marianas,,2020-03-13
Ohio,1,2020-03-13
Oklahoma,1,2020-03-13
Oregon,24,2020-03-13
Palau,,2020-03-13
Pennsylvania,23,2020-03-13
Puerto Rico,,2020-03-13
Rhode Island,1,2020-03-13
South Carolina,12,2020-03-13
South Dakota,8,2020-03-13
Tennessee,18,2020-03-13
Texas,24,2020-03-13
Utah,1,2020-03-13
Vermont,1,2020-03-13
Virgin Islands,,2020-03-13
Virginia,29,2020-03-13
Washington,457,2020-03-13
West Virginia,,2020-03-13
Wisconsin,8,2020-03-13
Wyoming,1,2020-03-13
Alabama,22,2020-03-13
Alaska,1,2020-03-13
American Samoa,,2020-03-13
Arizona,13,2020-03-13
Arkansas,16,2020-03-13
California,369,2020-03-13
Colorado,144,2020-03-13
Connecticut,26,2020-03-13
Delaware,8,2020-03-13
District of Columbia,17,2020-03-13
Florida,136,2020-03-13
Georgia,119,2020-03-13
Guam,1,2020-03-13
Hawaii,7,2020-03-13
Idaho,1,2020-03-13
Illinois,93,2020-03-13
Indiana,19,2020-03-13
Iowa,22,2020-03-13
Kansas,8,2020-03-13
Kentucky,20,2020-03-13
Louisiana,101,2020-03-13
Maine,14,2020-03-13
Marshall Islands,,2020-03-13
